time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-08-04T15:55:42.640Z,19.3759995,-155.2613373,0.24,2.5,ml,24,62,0.004844,0.19,hv,hv70521462,2018-08-04T16:01:27.210Z,"6km SSW of Volcano, Hawaii",earthquake,0.3,0.21,0.27,13,automatic,hv,hv
2018-08-04T15:55:02.740Z,19.4153328,-155.2680054,1.29,2.64,ml,24,69,0.008324,0.24,hv,hv70521457,2018-08-04T16:00:47.630Z,"3km WSW of Volcano, Hawaii",earthquake,0.28,0.32,0.44,20,automatic,hv,hv
2018-08-04T15:24:32.150Z,18.0135,-68.3251,74,2.86,md,17,237,0.5036,0.54,pr,pr2018216009,2018-08-04T15:57:16.113Z,"50km SE of Boca de Yuma, Dominican Republic",earthquake,4.3,3.87,0.47,17,reviewed,pr,pr
2018-08-04T15:15:27.450Z,19.302166,-155.4611664,44.04,2.59,ml,11,116,0.08806,0.12,hv,hv70521317,2018-08-04T15:21:08.810Z,"10km N of Pahala, Hawaii",earthquake,1.69,1.93,0.07,4,automatic,hv,hv
2018-08-04T15:11:33.160Z,19.4130001,-155.286499,0.85,2.52,ml,35,25,0.005162,0.13,hv,hv70521302,2018-08-04T15:17:12.960Z,"5km WSW of Volcano, Hawaii",earthquake,0.19,0.13,0.37,16,automatic,hv,hv
2018-08-04T14:55:40.310Z,19.4115009,-155.2788391,0.82,2.79,ml,46,30,0.007886,0.21,hv,hv70521247,2018-08-04T15:01:19.100Z,"4km WSW of Volcano, Hawaii",earthquake,0.26,0.16,2.88,31,automatic,hv,hv
2018-08-04T14:50:27.820Z,19.4020004,-155.2669983,-0.03,3.01,ml,48,36,0.003848,0.35,hv,hv70521242,2018-08-04T14:56:08.410Z,"4km SW of Volcano, Hawaii",earthquake,0.25,0.2,2.84,32,automatic,hv,hv
2018-08-04T14:40:27.130Z,19.3803329,-155.0189972,4.72,2.61,ml,46,173,0.05475,0.35,hv,hv70521212,2018-08-04T14:46:07.110Z,"14km SW of Leilani Estates, Hawaii",earthquake,0.91,0.69,2.39,27,automatic,hv,hv
2018-08-04T13:49:18.690Z,19.4069996,-155.2636719,1.28,2.71,ml,41,43,0.0062,0.25,hv,hv70521057,2018-08-04T13:55:00.330Z,"3km SW of Volcano, Hawaii",earthquake,0.28,0.2,0.38,20,automatic,hv,hv
2018-08-04T13:48:49.320Z,33.9328346,-116.8290024,6.17,3.19,ml,123,21,0.04192,0.18,ci,ci38237088,2018-08-05T11:05:23.831Z,"4km WNW of Cabazon, CA",earthquake,0.19,0.7,0.333,15,automatic,ci,ci
2018-08-04T13:37:06.140Z,19.388834,-155.2740021,0.22,2.56,ml,21,56,0.006509,0.22,hv,hv70521002,2018-08-04T13:42:45.810Z,"6km SW of Volcano, Hawaii",earthquake,0.22,0.27,0.46,17,automatic,hv,hv
2018-08-04T13:19:24.370Z,19.3988342,-155.2671661,0.42,2.81,ml,28,64,0.001222,0.15,hv,hv70520972,2018-08-04T13:25:02.450Z,"4km SW of Volcano, Hawaii",earthquake,0.18,0.18,0.46,17,automatic,hv,hv
2018-08-04T13:16:36.670Z,19.4003334,-155.269165,1.72,2.97,ml,43,36,0.003616,0.24,hv,hv70520967,2018-08-04T13:22:16.840Z,"4km SW of Volcano, Hawaii",earthquake,0.29,0.19,3.12,35,automatic,hv,hv
2018-08-04T13:15:59.670Z,19.3880005,-155.2794952,0.25,2.97,ml,11,118,0.002554,0.12,hv,hv70520962,2018-08-04T13:21:38.050Z,"6km SW of Volcano, Hawaii",earthquake,0.31,0.17,2.57,29,automatic,hv,hv
2018-08-04T13:06:43.850Z,19.4144993,-155.2456665,-0.31,2.58,ml,12,174,0.01363,0.22,hv,hv70520937,2018-08-04T13:12:22.540Z,"1km SSW of Volcano, Hawaii",earthquake,0.36,0.42,0.3,7,automatic,hv,hv
2018-08-04T12:56:39.370Z,19.25,-155.3746643,10.58,2.77,ml,6,282,0.0249,0.13,hv,hv70520897,2018-08-04T13:02:18.600Z,"12km ENE of Pahala, Hawaii",earthquake,1.49,1.58,0.39,5,automatic,hv,hv
2018-08-04T12:52:00.178Z,63.2975,-144.8937,0,2.9,ml,,,,1.03,ak,ak20005895,2018-08-04T12:56:55.500Z,"66km SSE of Deltana, Alaska",earthquake,,0.3,,,automatic,ak,ak
2018-08-04T12:27:44.640Z,19.3896675,-155.2731628,1.85,2.84,ml,44,43,0.005689,0.29,hv,hv70520802,2018-08-04T12:33:25.040Z,"5km SW of Volcano, Hawaii",earthquake,0.28,0.33,1.96,26,automatic,hv,hv
2018-08-04T12:25:54.130Z,19.3624992,-155.2519989,-1.02,2.98,ml,38,57,0.01409,0.37,hv,hv70520792,2018-08-04T12:31:36.040Z,"7km S of Volcano, Hawaii",earthquake,0.26,0.29,2.05,24,automatic,hv,hv
2018-08-04T12:24:41.370Z,19.3978329,-155.2723389,-0.35,2.62,ml,37,47,0.002744,0.31,hv,hv70520787,2018-08-04T12:30:23.620Z,"5km SW of Volcano, Hawaii",earthquake,0.29,0.2,0.5,22,automatic,hv,hv
2018-08-04T12:24:15.250Z,19.3899994,-155.2714996,0.95,2.62,ml,13,51,0.005711,0.24,hv,hv70520782,2018-08-04T12:29:55.400Z,"5km SW of Volcano, Hawaii",earthquake,0.39,0.35,0.5,20,automatic,hv,hv
2018-08-04T12:02:34.440Z,19.4300003,-155.2823334,-0.19,2.61,ml,30,89,0.006876,0.3,hv,hv70520722,2018-08-04T12:08:16.090Z,"4km W of Volcano, Hawaii",earthquake,0.34,0.27,0.38,16,automatic,hv,hv
2018-08-04T11:42:15.840Z,18.7315,-68.6561,155,4.3,md,23,287,0.3504,0.3,pr,pr2018216007,2018-08-04T13:06:17.842Z,"4km SSW of San Rafael del Yuma, Dominican Republic",earthquake,26.29,3.18,0.46,21,reviewed,pr,pr
2018-08-04T11:36:12.720Z,19.3851662,-155.2773285,-0.49,2.52,ml,28,48,0.004358,0.19,hv,hv70520632,2018-08-04T11:41:58.430Z,"6km SW of Volcano, Hawaii",earthquake,0.13,0.13,0.35,15,automatic,hv,hv
2018-08-04T11:30:53.800Z,19.3969994,-155.267334,0.18,2.57,ml,44,30,0.001743,0.2,hv,hv70520612,2018-08-04T11:36:35.110Z,"4km SW of Volcano, Hawaii",earthquake,0.22,0.19,0.47,23,automatic,hv,hv
2018-08-04T11:21:40.750Z,19.4066658,-155.2915039,0.05,2.79,ml,24,44,0.008024,0.25,hv,hv70520597,2018-08-04T11:27:24.460Z,"6km WSW of Volcano, Hawaii",earthquake,0.27,0.2,0.32,7,automatic,hv,hv
2018-08-04T11:21:28.550Z,19.4963341,-155.3248291,3.56,2.93,ml,9,176,0.08719,0.3,hv,hv70520592,2018-08-04T19:24:10.215Z,"11km NW of Volcano, Hawaii",earthquake,3.17,16.05,0.49,16,automatic,hv,hv
2018-08-04T11:19:37.410Z,19.4123325,-155.2828369,0.09,2.59,ml,22,46,0.005433,0.26,hv,hv70520587,2018-08-04T11:25:21.980Z,"5km WSW of Volcano, Hawaii",earthquake,0.25,0.19,0.3,15,automatic,hv,hv
2018-08-04T11:16:14.620Z,19.4060001,-155.2863312,1.09,3.6,ml,54,24,0.01179,0.27,hv,hv70520567,2018-08-04T19:01:31.755Z,"5km WSW of Volcano, Hawaii",earthquake,0.24,0.17,3.28,37,automatic,hv,hv
